gene,count_cancer,count_normal,S(gene),count_total
TSPAN32,6,11,290.8941251,17
TPSD1,1,5,280.1202208,6
ANKRD2,5,7,188.3993702,12
MEIS3,1,3,179.8171539,4
CD300A,12,22,168.0557951,34
CYP4F35P,1,11,155.2794361,12
CDH16,14,34,140.0367759,48
CNIH2,15,39,131.0215419,54
CCDC144NL-AS1,2,5,130.4088603,7
LINC00304,1,3,120.8102722,4
WNK4,1,16,119.0967398,17
KCNK3,2,3,117.8979034,5
NLRC3,3,6,115.9866892,9
LRRC55,1,2,115.2216822,3
CD300C,3,14,112.1264877,17
SLC25A34,3,8,111.9405566,11
HSPB7,6,9,111.6177261,15
TMEM204,1,2,110.3600438,3
RHBDL3,2,3,108.6223679,5
KNDC1,32,124,107.8542472,156
FAM41C,30,50,107.700379,80
HS3ST6,25,44,106.0928579,69
PKDCC,9,13,103.6149913,22
RASA3,10,39,103.5091223,49
CLCNKA,5,10,103.5024134,15
NHLRC4,8,93,102.0226964,101
RBFOX3,1,2,101.2310969,3
TEKT4,17,92,100.8980347,109
SERPINF2,70,132,99.88697875,202
SLC6A12,1,6,99.43547058,7
LINC01135,2,3,97.28712921,5
CEACAM4,16,43,96.55056763,59
EFNB3,19,51,95.77784282,70
ZNF213-AS1,28,44,94.73038917,72
LYL1,34,46,94.6128891,80
ZNF232,32,58,94.25271547,90
TTC34,8,24,92.79586816,32
FUOM,75,105,89.67253414,180
RAMP2-AS1,3,4,88.14392417,7
KRT79,1,2,86.86616262,3
GNB3,1,2,86.47983551,3
ASPRV1,3,4,85.55693817,7
ZNF132,3,5,84.604146,8
GATA6-AS1,15,37,84.32831031,52
PYY,1,3,84.06756592,4
GAS8,115,153,83.1802205,268
TTC39A,143,224,83.05182849,367
HES2,13,51,82.26722944,64
C11orf21,5,12,81.30290716,17
INCA1,10,19,81.03513297,29
CCDC78,23,211,79.00144323,234
NAALADL1,5,17,76.10175219,22
WDR90,83,114,75.12467693,197
HAS1,2,4,74.34903463,6
MT1H,2,4,74.11977514,6
SZT2-AS1,1,2,74.0154597,3
SEMA6B,6,9,72.4901652,15
SIGLEC9,2,13,72.45783132,15
TNNT3,9,35,70.49598052,44
ATP2A3,32,62,70.28103232,94
ART5,3,4,70.0674215,7
CIDEB,16,52,69.14726717,68
LINC01089,31,50,68.63131591,81
TMEM147-AS1,13,22,67.2793008,35
SFRP5,15,97,66.62534496,112
BRSK2,6,8,65.02677863,14
DNAH2,53,102,64.37767811,155
TP73,24,77,64.30662287,101
ACAP1,35,106,64.16391862,141
SCGB1B2P,11,16,63.6224888,27
GALNS,77,125,63.0815469,202
UTF1,1,7,62.98605299,8
ARHGAP9,16,26,62.97931726,42
ITGA5,18,28,62.60755804,46
INAFM2,42,74,61.56434539,116
SLFNL1,10,52,61.03751952,62
PLIN4,6,11,60.66905841,17
PSD,17,27,60.44473804,44
ABCC6,201,271,59.36450187,472
NOXO1,37,91,58.72821259,128
CPAMD8,76,143,57.57329963,219
YPEL4,2,3,55.48287811,5
RRAD,348,506,55.08924627,854
BAIAP3,29,76,54.56096355,105
CACNG8,2,9,54.07528548,11
GPRIN2,42,103,53.82884122,145
TNNI2,59,78,53.36738909,137
PITPNM3,61,93,53.00168942,154
NOTUM,8,49,52.08292596,57
SLC7A6,80,129,51.60648561,209
TNS2,127,195,51.55645577,322
AJAP1,1,9,51.42282066,10
KLHL29,25,55,51.35303736,80
PRDM11,22,37,50.6288778,59
PRCD,2,5,50.44027819,7
AP3B2,2,7,50.12217119,9
IFFO1,2,13,49.22108053,15
SLC4A8,27,64,48.82522407,91
TRPV4,32,48,48.71519551,80
C2orf81,30,86,48.48355694,116
B3GNT9,45,70,48.3878691,115
ATP6V0C,1,6,48.29548754,7
TBX21,2,5,47.45962415,7
SMTNL2,2,16,47.17902798,18
PTPN7,11,18,47.06587351,29
ACSM3,91,132,46.71283934,223
LINC00482,12,23,46.70458984,35
NPHP4,46,61,46.62394864,107
RUSC1-AS1,5,8,46.55447799,13
RPH3AL,132,173,44.98352504,305
PPP1R1A,1,12,44.28625723,13
DLG4,11,32,44.14787115,43
ADCY7,49,142,43.46709274,191
TRIM58,3,9,42.44633993,12
PLPPR3,1,54,42.365625,55
LLGL1,17,27,41.43524803,44
SRD5A2,6,49,41.12520599,55
SDK2,6,9,40.47436981,15
IGSF9B,4,6,40.23503723,10
CSMD2,4,8,40.01088905,12
PRIMA1,3,6,38.38261922,9
SFTPD,552,848,38.08833208,1400
RPRML,1,2,37.73412832,3
VSTM4,18,46,37.66346896,64
LINC01139,1,4,37.40867462,5
HYPK,27,38,37.11074935,65
LILRA2,4,13,36.94067832,17
PHGDH,66,128,36.81184843,194
IGFALS,12,22,36.80948123,34
EDC4,1,3,36.70351219,4
CFAP46,16,117,36.15399933,133
TNS4,12,16,36.10389791,28
C1QTNF4,3,20,35.45082623,23
PDE1B,4,7,35.44780731,11
ACVRL1,6,32,35.44135967,38
ADD2,2,3,35.33284454,5
ARHGEF4,14,37,35.16493943,51
NEURL1,2,4,35.01275508,6
EFS,28,41,34.90475044,69
C16orf86,18,33,34.78340224,51
SLC27A3,141,250,34.29455153,391
ST3GAL2,37,52,34.19908806,89
HIPK1-AS1,20,34,34.1979202,54
TM6SF1,9,24,34.05765348,33
MEIOC,4,9,34.0106342,13
GRIN3B,15,95,33.96953153,110
C11orf96,466,680,33.92788749,1146
JMJD7-PLA2G4B,3,7,33.74940262,10
LPXN,45,79,33.02415171,124
PLD6,29,42,32.90662846,71
STOX1,36,108,32.89336175,144
NPR1,43,68,32.82376057,111
ZAP70,6,20,32.71706772,26
CORO6,2,3,32.33779831,5
SLC27A5,55,108,32.09069085,163
SHISA9,3,6,32.05415599,9
NPIPA3,1,3,31.47434616,4
KANK3,7,12,31.06925201,19
SYNDIG1L,11,43,30.9975309,54
LOXL3,1,4,30.72553711,5
MATN1,1,2,30.55845896,3
PLEKHH1,9,23,30.4408071,32
MATK,5,29,30.39531685,34
MORN1,38,114,30.32420515,152
MERTK,50,72,30.2708198,122
FOXN1,3,4,30.12883868,7
ZNF469,2,13,30.05900472,15
PPP2R5B,55,86,30.05788281,141
NRGN,282,504,30.03353995,786
NR0B2,65,153,29.97964047,218
CA12,94,150,29.82899123,244
MSI1,8,15,29.50324316,23
KRT5,2,11,29.40188423,13
LTB4R2,4,24,29.3916457,28
RABEP1,152,198,29.35570516,350
FBN3,2,9,29.24183031,11
FXR2,104,145,29.1478816,249
PIEZO2,2,3,29.00182343,5
ADAMTSL4,22,66,28.75688813,88
DOC2A,18,82,28.41074074,100
ADGRG5,1,3,27.98074341,4
ABR,129,185,27.42519384,314
UNC5B,24,40,27.34536207,64
SYNE3,10,57,26.79303206,67
TSPAN11,3,23,26.77982389,26
ZNF541,1,2,26.7740949,3
SOX15,5,8,26.6587008,13
ZMYND12,22,99,26.6353826,121
CES2,191,253,26.40050622,444
REM2,19,30,26.36888325,49
CDKL4,5,8,26.29398581,13
FHOD3,15,34,26.17897594,49
TMEM107,116,278,26.08185395,394
GNGT2,5,10,25.78603261,15
FOXJ1,184,245,25.76608253,429
SLC13A2,5,19,25.4398845,24
ZNF385A,42,65,25.42506394,107
ENKD1,103,171,25.29628748,274
SLAMF8,7,13,25.06305313,20
RASGRP2,14,46,24.88301074,60
SGPP1,78,124,24.75994208,202
PCSK4,33,55,24.40425054,88
ZNF763,6,14,24.27644958,20
KLK13,2,27,23.81172206,29
TDRD9,2,5,23.60435268,7
MIEF2,52,79,23.44840593,131
CCDC33,3,64,23.42020143,67
LIN7B,60,100,23.32061596,160
EPOR,102,147,22.86091142,249
TACR1,2,10,22.83457057,12
S1PR5,4,20,22.82568614,24
FBXW8,40,60,22.4900145,100
DTX3,95,136,22.47451049,231
DEGS2,99,183,22.39292751,282
CACNG6,2,52,22.38606064,54
MCF2L-AS1,31,46,22.15129079,77
ABCA10,5,7,21.8906072,12
KCNMA1,21,28,21.85658871,49
RBP7,4,9,21.67751166,13
DUS3L,51,67,21.66001388,118
NATD1,31,67,21.53678279,98
ZIK1,2,3,21.51073456,5
IRX6,39,56,21.31425693,95
SLC5A9,2,8,21.22846832,10
EIF3CL,1,2,21.14877065,3
MYCBPAP,33,97,20.73307624,130
KCTD19,3,5,20.55597305,8
CCDC40,45,98,20.47193605,143
CHP2,1,9,20.4441185,10
SCNN1G,18,46,19.88197565,64
KIF19,5,121,19.81119017,126
IQSEC3,1,4,19.58005676,5
ADGRB2,10,17,19.44087361,27
ZNF497,8,21,19.37975048,29
GPR162,12,132,19.258413,144
HSDL1,74,105,19.09404669,179
MYH3,5,9,19.00969042,14
PAX9,29,45,18.95348193,74
SULT1A2,109,154,18.3629093,263
ATP8A2,149,226,18.34015508,375
XYLT1,2,5,18.27144514,7
RANBP10,46,87,18.25159466,133
FKRP,46,75,18.23050349,121
VWCE,6,8,18.09309442,14
TBC1D10C,20,62,18.0064941,82
CPEB1-AS1,1,2,17.91397858,3
KRTDAP,2,5,17.82667215,7
ZNF709,4,11,17.74673258,15
MZF1-AS1,31,62,17.69940497,93
CD1D,4,15,17.55385549,19
P2RX2,1,2,17.2787145,3
SFMBT2,16,23,17.05687322,39
JPH4,1,3,16.90216637,4
ERN2,11,29,16.80190678,40
SLC16A13,2,5,16.73312269,7
ALPL,233,629,16.61054566,862
IL12RB1,3,16,16.60195762,19
GABARAPL1,281,413,16.3873622,694
CCDC62,1,6,16.30776596,7
SRRM4,2,9,16.26435505,11
FFAR4,1,27,16.07135228,28
FLT1,3,4,16.04090772,7
C1GALT1C1L,2,11,15.56489093,13
SLC14A1,1,4,15.44776917,5
RNU11,7,13,15.35693722,20
BBOF1,75,154,15.30910004,229
NOD2,3,10,15.20335623,13
SCN4B,4,19,15.10835498,23
ADAT3,6,9,14.76189982,15
ZNF439,26,42,14.7423218,68
KAT5,166,227,14.64843071,393
LINC01376,3,6,14.59733836,9
ENO1-AS1,8,15,14.49635016,23
LAG3,43,72,14.31073343,115
TBCEL,50,72,14.22492068,122
MATN3,6,21,14.15948882,27
SCUBE2,37,93,13.99923929,130
TAGLN,59,106,13.9516615,165
ZNF208,1,7,13.83918381,8
ST6GAL2,1,6,13.81817845,7
KCTD14,96,133,13.79602546,229
SLC2A4,1,3,13.74223518,4
ASB2,1,4,13.74038696,5
COX7A1,4,13,13.72023571,17
ANO4,1,5,13.54912059,6
LCAT,23,46,13.41634999,69
ESR2,4,11,12.9743571,15
ADGRD1,108,165,12.90723718,273
PIK3R2,28,39,12.66863239,67
DUOX2,19,32,12.40081024,51
ZNF503-AS2,24,40,12.14712191,64
ZNF808,35,50,11.98652335,85
MRPL53,66,86,11.92529744,152
A2M-AS1,4,10,11.90148326,14
ID2-AS1,3,4,11.8648322,7
EDARADD,5,10,11.82299118,15
DLEU1,63,110,11.62983836,173
PRPF8,244,361,11.36209553,605
POMC,9,23,11.08279109,32
TMEM255B,6,14,11.04442215,20
C19orf54,54,128,10.95435859,182
MVD,206,344,10.8466173,550
OSCAR,11,63,10.81365534,74
NRAV,67,90,10.76721211,157
GPR83,1,2,10.76318359,3
PLXNC1,7,14,10.73139554,21
AXDND1,1,8,10.67406887,9
TEKT2,22,168,10.44268612,190
PPM1E,1,10,10.41392309,11
PIK3R5,6,14,10.39275475,20
FBXW9,92,122,10.3302274,214
PRKCB,9,19,10.26831818,28
KCNQ1DN,1,4,10.22395477,5
TNFSF13,1,3,10.10174751,4
ZNF77,17,28,9.997367605,45
HEYL,3,6,9.950074938,9
ZFP3,8,21,9.904017876,29
EFCAB11,32,49,9.709316866,81
KIF17,2,9,9.693133961,11
CPPED1,46,65,9.646398012,111
LRRC10B,14,135,9.290573223,149
DCHS1,6,8,9.272142683,14
IKZF4,73,136,9.169228002,209
ZNF287,14,21,9.138200596,35
OTOA,3,5,8.979336739,8
REC8,85,153,8.908386359,238
FBXL12,83,118,8.754144355,201
PGS1,114,166,8.541334752,280
RANGRF,231,328,8.423330508,559
RASAL2-AS1,2,4,8.279224396,6
CHST6,14,48,8.263706515,62
ZNF20,25,33,8.238077887,58
B9D2,143,228,8.224629292,371
RHEBL1,13,25,8.188403882,38
PDE8A,101,160,8.140450196,261
ZNF610,5,9,8.139887401,14
ZNF18,13,20,8.070390181,33
ZFHX2,29,52,7.726534902,81
INO80,133,180,7.695194171,313
THEMIS2,33,53,7.560420103,86
MPV17L,12,26,7.259514457,38
MRPL48,188,249,7.225997401,437
LINC00235,1,3,7.132883072,4
ALOX12-AS1,34,51,7.128695679,85
LRRC27,84,154,7.02050177,238
MOK,110,169,7.006000833,279
MZF1,109,157,6.969890681,266
CORO2B,4,24,6.947398049,28
KPNA3,201,301,6.888844562,502
APOA1,9,84,6.862402639,93
DET1,24,34,6.853987727,58
MED25,125,169,6.843287461,294
TTC12,42,70,6.801879202,112
NEK2,11,15,6.763319456,26
TUB,1,29,6.667596944,30
PINLYP,24,50,6.631854186,74
POLD3,79,150,6.372762822,229
TMEM229B,4,6,6.270233154,10
SLC24A4,2,3,5.994573975,5
IGFLR1,14,28,5.800340743,42
ZNF559,39,59,5.734337632,98
C2orf50,6,58,5.641480923,64
COQ10A,68,123,5.58128303,191
ANKRD24,5,7,5.399253209,12
SHMT1,94,174,5.363224755,268
PRMT5-AS1,1,6,5.292297363,7
GEMIN4,42,56,5.245074369,98
SLC6A16,11,41,5.204757104,52
