gene,mu_cancer,n_cancer,mu_normal,n_normal,delta,rank_delta_desc
IGHA2,-23.949122717214184,86,-1426.6936489371367,86,1402.7445262199226,1
IGHA1,-17.927845270016938,518,-1269.8356054593237,518,1251.9077601893068,2
IGHM,-21.01361372032944,98,-1146.5659827407526,98,1125.5523690204232,3
IGHG1,-20.573103306998668,284,-872.168442202286,284,851.5953388952873,4
IGHG4,-12.442721318173152,372,-752.1283822008359,372,739.6856608826627,5
IGHG3,-14.779947829322692,313,-725.8126708204373,313,711.0327229911146,6
IGHG2,-20.837266127268474,36,-641.8662160237631,36,621.0289498964946,7
TPSB2,-47.126459870383,214,-574.0478974814727,214,526.9214376110897,8
IGHE,-140.45094299316406,6,-610.4071248372396,6,469.95618184407556,9
DVL1,-89.22012599822014,341,-540.34136416975,341,451.12123817152985,10
SLC16A3,-33.652508717235094,673,-462.14050651198863,673,428.48799779475354,11
CABP4,-104.81961099725021,19,-493.49610981188323,19,388.676498814633,12
RASL12,-120.15498903062608,18,-503.7630089653863,18,383.6080199347602,13
LINC01165,-48.61289596557617,1,-428.4727783203125,1,379.8598823547363,14
POLE,-98.82900930705823,76,-451.8290276778372,76,353.00001837077895,15
LINC01070,-291.62782287597656,2,-641.5451049804688,2,349.9172821044922,16
CALY,-374.6960957845052,6,-694.0039265950521,6,319.30783081054693,17
NT5C2,-85.24643738315754,467,-404.2432552231456,467,318.996817839988,18
THEG,-151.56331743512834,7,-463.7035653250558,7,312.1402478899275,19
MDK,-41.22276305418748,1040,-347.9773610922006,1040,306.7545980380131,20
KCNN4,-114.33334337488265,233,-416.26734642716434,233,301.9340030522817,21
RNF223,-81.10083403410735,81,-377.86744671103395,81,296.76661267692657,22
TSPAN32,-54.65232624727137,17,-345.5464513442096,17,290.8941250969382,23
IFITM10,-60.63126986014411,193,-347.40004908112047,193,286.76877922097634,24
IGF2,-96.44218884092389,66,-377.2737269546046,66,280.8315381136807,25
TPSD1,-55.01318168640137,6,-335.13340250651044,6,280.12022082010907,26
TRPM4,-140.8608911037445,256,-420.50614881515503,256,279.6452577114105,27
CD5,-159.6741958618164,20,-436.813720703125,20,277.13952484130857,28
RAB7B,-179.34264579651847,63,-451.33840990823415,63,271.9957641117157,29
NKX2-1-AS1,-87.16396340762867,85,-358.4838296329274,85,271.3198662252987,30
CD7,-117.67461298073933,157,-387.13868664784036,157,269.46407366710105,31
MMEL1,-84.38712197762949,81,-343.6881815592448,81,259.30105958161533,32
ISG15,-39.158147983008455,914,-298.12505018371985,914,258.9669022007114,33
TSC22D1-AS1,-254.47944012810203,17,-513.0534596162684,17,258.5740194881663,34
MSLNL,-78.08145904541016,1,-332.7567138671875,1,254.67525482177734,35
SFN,-59.69613600750359,980,-301.0034858547911,980,241.30734984728753,36
IGHEP1,-149.1442108154297,1,-390.1048889160156,1,240.96067810058594,37
CEACAM5,-74.99693298339844,371,-315.08392975593836,371,240.08699677253992,38
ZNF574,-128.10593093650928,138,-360.84263522383094,138,232.73670428732166,39
GPS1,-85.54590277381155,607,-314.2190515056277,607,228.67314873181616,40
FCMR,-159.5008266786986,79,-385.4169616699219,79,225.9161349912233,41
TAS1R3,-157.61444091796875,7,-381.8598894391741,7,224.24544852120533,42
HRC,-216.9676055908203,1,-436.7063903808594,1,219.73878479003906,43
PXDN,-52.187100849980894,230,-271.3885190880817,230,219.2014182381008,44
MARCKSL1,-44.60730990981607,849,-262.115347674654,849,217.50803776483792,45
ABCC3,-45.786783299269985,731,-261.99484599435704,731,216.20806269508705,46
PHLDA2,-38.541904462651125,1157,-254.06249485658796,1157,215.52059039393683,47
PKP3,-93.4108789378199,580,-306.157350527007,580,212.74647158918708,48
UBE2I,-157.71991647614374,1152,-368.83610775735644,1152,211.1161912812127,49
PTPRCAP,-97.57775115966795,1,-308.386474609375,1,210.80872344970703,50
GRK1,-196.65237426757807,1,-406.4573669433594,1,209.8049926757813,51
KREMEN2,-56.26600456237793,2,-265.99757385253906,2,209.73156929016113,52
RIN1,-80.42224042555866,68,-290.1239781099207,68,209.70173768436206,53
OBSCN,-90.03111281904202,103,-297.9582223244084,103,207.92710950536636,54
GATM,-73.33561148572323,67,-279.3792055044601,67,206.04359401873688,55
AQP5,-58.38868716037232,574,-263.7735891840599,574,205.3849020236876,56
TUBB3,-140.21059006911057,13,-345.516362116887,13,205.30577204777646,57
WFIKKN1,-100.47251215520895,53,-303.57170709573995,53,203.099194940531,58
ONECUT3,-59.50556584408409,19,-262.5025120785362,19,202.9969462344521,59
AMH,-96.79350090026855,36,-298.9178466796875,36,202.12434577941895,60
CEACAM8,-117.15018717447917,3,-319.2717997233073,3,202.12161254882812,61
CHTF18,-67.1233719587326,64,-268.98723793029785,64,201.86386597156525,62
BCL3,-104.7663321777563,557,-306.1589027829401,557,201.39257060518383,63
CRIP2,-87.39488356655868,945,-287.57265796156787,945,200.17777439500918,64
RCOR2,-59.12983322143555,29,-257.197393483129,29,198.06756026169347,65
UNC13D,-89.93704272854713,186,-287.84783361291375,186,197.91079088436663,66
MUC5B,-78.61282516692901,286,-275.75174088911575,286,197.13891572218674,67
TFDP1,-76.88401759610632,482,-272.9999532422584,482,196.11593564615208,68
DEAF1,-63.028114261911874,335,-256.8900074062063,335,193.8618931442944,69
ANKRD62,-140.7676544189453,1,-330.84210205078125,1,190.07444763183594,70
PLK5,-104.95157146453857,8,-294.74703216552734,8,189.79546070098877,71
RAC3,-93.87488110204742,291,-283.0984906068782,291,189.2236095048308,72
GPR132,-61.815985679626465,20,-250.2953125,20,188.47932682037353,73
ANKRD2,-90.15968386332194,12,-278.5590540568034,12,188.39937019348145,74
HCN2,-69.7332649230957,2,-257.02301025390625,2,187.28974533081055,75
TGFB1,-48.526151356462975,387,-234.88503839064015,387,186.35888703417717,76
TNFRSF4,-88.33284361466117,23,-273.3074247940727,23,184.97458117941153,77
RASD1,-56.859368122671675,421,-240.55159453258378,421,183.6922264099121,78
NPIPA1,-149.62509243304913,104,-332.25575696505035,104,182.63066453200122,79
DRAP1,-76.17073151046768,1037,-258.3406142967761,1037,182.16988278630842,80
FTSJ3,-106.30273633976047,299,-288.345104817164,299,182.0423684774035,81
TXNDC17,-56.86311777397661,1585,-238.49953789455282,1585,181.6364201205762,82
TCAP,-106.91770648956299,24,-287.3185068766276,24,180.40080038706463,83
TMEM101,-87.38601011388442,663,-267.5631126760537,663,180.1771025621693,84
MEIS3,-47.3799934387207,4,-227.19714736938477,4,179.81715393066406,85
NUDT22,-57.26907255504053,639,-234.94835205555708,639,177.67927950051654,86
PRPH,-90.41659545898438,2,-267.0458221435547,2,176.6292266845703,87
EBI3,-224.86180114746094,6,-399.96721903483075,6,175.1054178873698,88
NPB,-84.25525966443513,76,-258.84042759945515,76,174.58516793502002,89
PLEKHN1,-85.73209089981883,76,-260.07817860653523,76,174.3460877067164,90
KRT16,-93.75471678234283,105,-268.0050830659412,105,174.2503662835984,91
C1orf35,-113.67041423285185,670,-287.19185467620395,670,173.5214404433521,92
BEGAIN,-48.08971176147461,10,-220.26576080322266,10,172.17604904174806,93
IMP3,-160.6086865462781,962,-332.385629760996,962,171.77694321471787,94
BCKDK,-98.97451048956977,540,-269.48691782068323,540,170.51240733111348,95
ACAP3,-87.38187477805398,231,-257.36338944868606,231,169.98151467063207,96
WDR83,-81.55413229124886,224,-251.21557215281896,224,169.6614398615701,97
PPP1R1B,-85.43799659245694,884,-253.89704311595244,884,168.4590465234955,98
CD300A,-230.2246596392463,34,-398.2804547478171,34,168.05579510857078,99
USHBP1,-92.23390197753906,6,-259.80450948079425,6,167.5706075032552,100
BAHD1,-89.46602973771408,229,-255.58377435009552,229,166.11774461238144,101
MTA3,-71.68187086178305,366,-235.41113739847486,366,163.7292665366918,102
SLC22A18,-114.34908020704465,401,-277.8457980643484,401,163.49671785730374,103
FBXO44,-48.698293647766114,200,-211.79409103393556,200,163.09579738616944,104
S100A16,-66.5548158036228,1205,-229.08604585639668,1205,162.53123005277388,105
TUBGCP5,-166.06229416529337,96,-328.581218401591,96,162.51892423629764,106
PTGER1,-73.90555944675353,41,-236.41434013552782,41,162.5087806887743,107
KCNJ12,-68.21467018127441,4,-230.4861068725586,4,162.27143669128418,108
