gene,count_cancer,count_normal,delta,count_total
CD5,10,10,277.13952484130857,20
HCN2,1,1,187.28974533081052,2
RASD1,207,214,183.6922264099121,421
NPIPA1,53,51,182.6306645320012,104
TCAP,12,12,180.40080038706463,24
IMP3,486,476,171.77694321471787,962
USHBP1,3,3,167.5706075032552,6
TUBGCP5,46,50,162.51892423629764,96
HAGLR,278,294,148.96819152031748,572
CD248,2,2,147.67274284362793,4
TBC1D26,1,1,141.5252227783203,2
HAGHL,132,121,137.23817875074303,253
TPSAB1,30,30,136.03880818684897,60
TMEM251,241,224,134.02131295152887,465
NDUFA13,700,765,128.20194478734766,1465
FAAP20,657,645,127.56034574494018,1302
TNNI3,46,42,124.24502797560255,88
COL8A2,15,15,122.42721023559572,30
TRAPPC12-AS1,2,2,122.40408134460448,4
AKT1,382,385,121.92746621720016,767
TMEM132B,2,2,119.45147609710692,4
NUDT16L1,338,330,118.407344898064,668
AQP2,1,1,117.6060562133789,2
TNFRSF14,269,253,116.6575136586624,522
HOOK2,529,516,113.18885268069911,1045
SLC22A31,650,640,112.89390681658604,1290
VWA1,407,370,109.75614553129964,777
KRT19,917,1005,107.4014492689881,1922
SREBF1,237,230,107.37706763943464,467
TOP3A,44,46,102.83309088812932,90
UQCRH,955,1009,101.1417249458142,1964
LDB3,4,4,100.81411933898926,8
B3GNTL1,56,57,99.30810249801232,113
OXER1,6,6,98.80352973937988,12
TBCB,466,431,98.22343142880511,897
PERM1,10,9,97.52893989964534,19
TMEM253,4,4,96.46542263031006,8
FENDRR,5,5,96.37912063598633,10
MRPS34,626,568,95.74426129595118,1194
IGFBP4,607,548,94.99263034176516,1155
MRPL28,347,329,94.75564207268891,676
PPP1R13B,193,187,93.27798480987548,380
APC2,2,2,87.65656566619873,4
KCNA7,2,2,84.02491188049316,4
PANK4,30,33,83.26903558155846,63
SMIM1,352,318,82.82236624191057,670
MEGF6,191,183,82.4123583094959,374
SPSB3,327,327,82.18241561516345,654
GAPDH,960,1066,81.62983406119616,2026
ADRA2B,6,6,81.43864568074545,12
MUC6,1,1,80.5038833618164,2
PLPP4,1,1,80.23631286621094,2
NME3,616,583,79.40983101762862,1199
SPATA32,1,1,78.7602653503418,2
WNT9A,17,18,76.84823434012276,35
PFDN2,673,608,76.66320531578572,1281
LMNA,925,983,76.6282995212003,1908
LMF1,72,71,76.37832833670237,143
ZNF653,23,21,76.18445465781471,44
DUSP2,130,139,76.07172666074618,269
RBFOX1,1,1,75.18458938598633,2
TMC4,366,363,74.0910852586618,729
PIGQ,204,213,73.83923427664119,417
KCND3,47,49,73.01877291997273,96
NDUFS3,458,441,72.89210408415492,899
LINC01115,1,1,72.89039993286133,2
ATP1A3,2,2,72.57877349853516,4
CYBA,807,731,71.01999639503667,1538
LARP4B,309,315,70.35210179059933,624
KRT18,983,1006,70.1121306364233,1989
APOE,429,471,69.8396325047811,900
SHISA6,2,2,69.82858467102051,4
BAIAP2,557,530,68.29388516872655,1087
BTBD19,41,37,67.63827622242462,78
UROD,267,241,66.90488992525835,508
TRAPPC2L,516,527,65.87438825861493,1043
SLC47A2,6,6,65.47154744466145,12
MRPL11,475,439,63.8363529514171,914
